Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
n8n,104022,2025-06-05,2019-06-22,https://github.com/n8n-io/n8n,29128,903,TypeScript,Other,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.","ai,apis,automation,cli,data-flow,development,integration-framework,integrations,ipaas,low-code,low-code-platform,mcp,mcp-client,mcp-server,n8n,no-code,self-hosted,typescript,workflow,workflow-automation"
dify,100956,2025-06-05,2023-04-12,https://github.com/langgenius/dify,15205,684,TypeScript,Other,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you q",
nocodb,54754,2025-06-05,2017-10-29,https://github.com/nocodb/nocodb,3915,689,TypeScript,GNU Affero General Public License v3.0,🔥 🔥 🔥 Open Source Airtable Alternative,"admin-dashboard,admin-ui,airtable,airtable-alternative,automatic-api,hacktoberfest,low-code,mariadb,mysql,no-code,no-code-database,no-code-platform,postgresql,rest-api,restful-api,spreadsheet,sqlite,sqlserver,swagger"
Flowise,39570,2025-06-05,2023-03-31,https://github.com/FlowiseAI/Flowise,20382,608,TypeScript,Other,"Build AI Agents, Visually",
appsmith,37155,2025-06-05,2020-06-30,https://github.com/appsmithorg/appsmith,4086,4388,TypeScript,Apache License 2.0,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.","admin-dashboard,admin-panels,app-builder,automation,crud,custom-internal,developer-tools,gui,gui-application,hacktoberfest,internal-tools,java,javascript,low-code,low-code-framework,react,self-hosted,typescript,webdevelopment,workflows"
ToolJet,35800,2025-06-05,2021-03-30,https://github.com/ToolJet/ToolJet,4635,994,JavaScript,GNU Affero General Public License v3.0,"Low-code platform for building business applications. Connect to databases, cloud storages, GraphQL, API endpoints, Airtable, Google sheets, OpenAI, etc and build apps using drag and drop application ","docker,hacktoberfest,internal-applications,internal-project,internal-tool,internal-tools,javascript,kubernetes,low-code,low-code-development-platform,low-code-framework,nestjs,no-code,nodejs,openai,reactjs,self-hosted,typeorm,typescript,web-development-tools"
refine,31156,2025-06-05,2021-01-20,https://github.com/refinedev/refine,2503,36,TypeScript,MIT License,"A React Framework for building  internal tools, admin panels, dashboards & B2B apps with unmatched flexibility.","admin,admin-ui,ant-design,crud,developer-tools,frontend-framework,good-first-issue,graphql,hacktoberfest,headless,internal-tools,javascript,low-code,nestjs,nextjs,open-source-project,react,react-framework,react-hooks,typescript"
budibase,24673,2025-06-05,2019-06-07,https://github.com/Budibase/budibase,1756,227,TypeScript,Other,"Create business apps and automate workflows in minutes. Supports PostgreSQL, MySQL, MariaDB, MSSQL, MongoDB, Rest API, Docker, K8s, and more 🚀 No code / Low code platform..","ai-app-builder,ai-applications,crud-app,crud-application,data-application,data-apps,internal-tools,it-workflows,low-code,low-code-no-code,low-code-platform,no-code,no-code-platform,open-source,rest-api-framework,sql-gui,workflow-apps,workflow-automation,workflow-engine"
node-red,21285,2025-06-04,2013-09-05,https://github.com/node-red/node-red,3586,437,JavaScript,Apache License 2.0,Low-code programming for event-driven applications,"flow-based-programming,javascript,low-code,node-red,openjs-foundation,visual-programming"
teable,18544,2025-06-05,2022-11-01,https://github.com/teableio/teable,922,84,TypeScript,Other,✨ The Next Gen Airtable Alternative: No-Code Postgres,
kestra,18344,2025-06-05,2019-08-24,https://github.com/kestra-io/kestra,1531,465,Java,Apache License 2.0,":zap: Workflow Automation Platform. Orchestrate & Schedule code in any language, run anywhere, 600+ plugins. Alternative to Airflow, n8n, Rundeck, VMware vRA, Zapier ...","automation,data-orchestration,devops,high-availability,infrastructure-as-code,java,low-code,lowcode,orchestration,pipeline,pipeline-as-code,workflow"
onlook,16535,2025-06-05,2024-06-25,https://github.com/onlook-dev/onlook,985,227,TypeScript,Apache License 2.0,"The Cursor for Designers • An Open-Source Visual Vibecoding Editor • Visually build, style, and edit your React App with AI",
nocobase,15779,2025-06-05,2020-10-24,https://github.com/nocobase/nocobase,1745,156,TypeScript,Other,"NocoBase is an extensibility-first, open-source no-code/low-code platform for building business applications and enterprise solutions.","admin-dashboard,airtable,app-builder,crm,crud,developer-tools,internal-tool,internal-tools,low-code,low-code-development-platform,low-code-framework,low-code-platform,lowcode,no-code,no-code-framework,no-code-platform,nocode,salesforce,self-hosted,workflows"
amplication,15686,2025-06-05,2020-05-10,https://github.com/amplication/amplication,1530,612,TypeScript,Other,"Amplication brings order to the chaos of large-scale software development by creating Golden Paths for developers - streamlined workflows that drive consistency, enable high-quality code practices, si","api,code-generation,csharp,csharp-code,dotnet,dotnet-core,graphql,hacktoberfest,javascript,low-code,nestjs,nodejs,prisma,typescript,web"
lowcode-engine,15167,2025-03-10,2021-12-20,https://github.com/alibaba/lowcode-engine,2634,654,TypeScript,MIT License,An enterprise-class low-code technology stack with scale-out design / 一套面向扩展设计的企业级低代码技术体系,"alibaba,low-code,lowcode"
apitable,14481,2025-05-07,2022-08-17,https://github.com/apitable/apitable,1298,505,TypeScript,GNU Affero General Public License v3.0,"🚀🎉📚 APITable, an API-oriented low-code platform for building collaborative apps and better than all other Airtable open-source alternatives. ","admin-dashboard,airtable,airtable-alternative,api,automatic-api,embed,hacktoberfest,internal-tool,javascript,low-code,nestjs,nextjs,no-code,nocodb,notion,react,spreadsheet,spring,typescript"
dolphinscheduler,13550,2025-06-05,2019-03-01,https://github.com/apache/dolphinscheduler,4812,233,Java,Apache License 2.0,Apache DolphinScheduler is the modern data orchestration platform. Agile to create high performance workflow with low-code,"airflow,azkaban,cloud-native,data-pipelines,job-scheduler,orchestration,powerful-data-pipelines,task-scheduler,workflow,workflow-orchestration,workflow-schedule"
