Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
n8n,184705,2026-04-19,2019-06-22,https://github.com/n8n-io/n8n,56954,1518,TypeScript,Other,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.","ai,apis,automation,cli,data-flow,development,integration-framework,integrations,ipaas,low-code,low-code-platform,mcp,mcp-client,mcp-server,n8n,no-code,self-hosted,typescript,workflow,workflow-automation"
dify,138312,2026-04-19,2023-04-12,https://github.com/langgenius/dify,21681,898,TypeScript,Other,Production-ready platform for agentic workflow development.,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow"
nocodb,62774,2026-04-19,2017-10-29,https://github.com/nocodb/nocodb,4730,670,TypeScript,Other,🔥 🔥 🔥 A Free & Self-hostable Airtable Alternative,"airtable,airtable-alternative,automatic-api,hacktoberfest,low-code,no-code,no-code-database,no-code-platform,postgresql,rest-api,restful-api,spreadsheet,sqlite,swagger"
Flowise,52057,2026-04-19,2023-03-31,https://github.com/FlowiseAI/Flowise,24172,812,TypeScript,Other,"Build AI Agents, Visually","agentic-ai,agentic-workflow,agents,artificial-intelligence,chatbot,chatgpt,javascript,langchain,large-language-models,low-code,multiagent-systems,no-code,openai,rag,react,typescript,workflow-automation"
appsmith,39650,2026-04-18,2020-06-30,https://github.com/appsmithorg/appsmith,4546,4454,TypeScript,Apache License 2.0,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.","admin-dashboard,admin-panels,app-builder,automation,crud,custom-internal,developer-tools,gui,gui-application,hacktoberfest,internal-tools,java,javascript,low-code,low-code-framework,react,self-hosted,typescript,webdevelopment,workflows"
ToolJet,37750,2026-04-19,2021-03-30,https://github.com/ToolJet/ToolJet,5014,963,JavaScript,GNU Affero General Public License v3.0,"ToolJet is the open-source foundation of ToolJet AI - the enterprise app generation platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀","ai-app-builder,docker,hacktoberfest,internal-applications,internal-project,internal-tool,internal-tools,javascript,kubernetes,low-code,low-code-development-platform,low-code-framework,no-code,nodejs,reactjs,self-hosted,typescript,web-development-tools,workflow-automation"
refine,34510,2026-04-15,2021-01-20,https://github.com/refinedev/refine,2998,28,TypeScript,MIT License,"A React Framework for building  internal tools, admin panels, dashboards & B2B apps with unmatched flexibility.","admin,admin-ui,ant-design,crud,developer-tools,frontend-framework,good-first-issue,graphql,hacktoberfest,headless,internal-tools,javascript,low-code,nestjs,nextjs,open-source-project,react,react-framework,react-hooks,typescript"
budibase,27835,2026-04-17,2019-06-07,https://github.com/Budibase/budibase,2126,292,TypeScript,Other,"AI agents, automations and apps that run your operations. Model agnostic.","ai-app-builder,ai-applications,crud-app,crud-application,data-application,data-apps,internal-tools,it-workflows,low-code,low-code-no-code,low-code-platform,no-code,no-code-platform,open-source,rest-api-framework,sql-gui,workflow-apps,workflow-automation,workflow-engine"
sim,27828,2026-04-19,2025-01-05,https://github.com/simstudioai/sim,3527,201,TypeScript,Apache License 2.0,"Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce.","agent-workflow,agentic-workflow,agents,ai,aiagents,anthropic,artificial-intelligence,automation,chatbot,deepseek,gemini,low-code,nextjs,no-code,openai,rag,react,typescript"
kestra,26719,2026-04-19,2019-08-24,https://github.com/kestra-io/kestra,2553,488,Java,Apache License 2.0,Event Driven Orchestration & Scheduling Platform for Mission Critical Applications,"automation,data-orchestration,devops,hacktoberfest,high-availability,infrastructure-as-code,java,low-code,lowcode,orchestration,pipeline,pipeline-as-code,workflow"
